1390498973.209 |      0 | 172.17.10.242 | TCP_DENIED/407 | 4993 | GET | http://retrofm.ru/online/air/playlist.js? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://retrofm.ru/
1390498973.347 |    128 | 172.17.10.242 | TCP_MISS/200 | 1056 | GET | http://retrofm.ru/online/air/playlist.js? | fvv002 | HIER_DIRECT/188.64.170.165 | application/x-javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | http://retrofm.ru/
1390498973.454 |      0 | 172.17.9.29 | TCP_DENIED/407 | 3999 | CONNECT | plus.google.com:443 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498973.466 |      0 | 172.17.9.29 | TCP_DENIED/407 | 4331 | CONNECT | plus.google.com:443 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498973.555 |      0 | 172.30.10.61 | TCP_DENIED/407 | 3898 | CONNECT | 93.95.99.232:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498973.644 |    170 | 172.17.9.29 | NONE/200 | 0 | CONNECT | plus.google.com:443 | aea001 | HIER_DIRECT/46.61.155.113 | - | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498973.914 |    263 | 172.17.9.29 | TCP_MISS/200 | 1245 | POST | https://plus.google.com/u/0/_/n/bg/fetchcount? | aea001 | PINNED/46.61.155.113 | application/json | 3128 | "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | https://plus.google.com/
1390498974.435 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4593 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
1390498974.447 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4925 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
1390498974.922 |    467 | 172.17.10.223 | TCP_MISS/200 | 425 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | pev014 | HIER_DIRECT/65.55.53.190 | text/html | 3128 | "MSDW" | -
